Order Date,SKU,Units Sold
1/1/2024,A,1
1/1/2024,B,172
1/1/2024,C,45
1/1/2024,D,316
1/1/2024,E,220
1/1/2024,F,33
1/1/2024,G,131
1/2/2024,B,92
1/2/2024,C,53
1/2/2024,D,229
1/2/2024,E,446
1/2/2024,F,50
1/2/2024,G,33
1/2/2024,H,40
1/3/2024,B,70
1/3/2024,C,33
1/3/2024,D,204
1/3/2024,E,400
1/3/2024,F,22
1/3/2024,G,93
1/4/2024,A,20
1/4/2024,B,46
1/4/2024,C,63
1/4/2024,D,262
1/4/2024,E,239
1/4/2024,F,93
1/4/2024,G,99
1/4/2024,H,10
1/5/2024,B,33
1/5/2024,C,66
1/5/2024,D,217
1/5/2024,E,607
1/5/2024,F,56
1/5/2024,G,80
1/6/2024,B,7
1/6/2024,C,46
1/6/2024,D,264
1/6/2024,E,674
1/6/2024,F,61
1/6/2024,G,30
1/7/2024,B,80
1/7/2024,C,21
1/7/2024,D,208
1/7/2024,E,404
1/7/2024,F,66
1/7/2024,G,16
1/8/2024,B,10
1/8/2024,C,32
1/8/2024,D,148
1/8/2024,E,624
1/8/2024,F,44
1/8/2024,G,54
1/8/2024,H,20
1/9/2024,B,17
1/9/2024,C,80
1/9/2024,D,117
1/9/2024,E,285
1/9/2024,F,45
1/10/2024,B,32
1/10/2024,C,101
1/10/2024,D,161
1/10/2024,E,307
1/10/2024,F,30
1/10/2024,G,72
1/11/2024,B,10
1/11/2024,C,5
1/11/2024,D,129
1/11/2024,E,485
1/11/2024,F,9
1/11/2024,H,4
1/12/2024,B,40
1/12/2024,C,19
1/12/2024,D,161
1/12/2024,E,261
1/12/2024,F,34
1/12/2024,I,0
1/12/2024,G,27
1/13/2024,B,56
1/13/2024,C,10
1/13/2024,D,166
1/13/2024,E,184
1/13/2024,F,41
1/13/2024,I,6
1/13/2024,G,27
1/14/2024,J,1
1/14/2024,B,17
1/14/2024,C,8
1/14/2024,D,161
1/14/2024,E,16
1/14/2024,F,16
1/14/2024,I,4
1/14/2024,G,50
1/15/2024,J,7
1/15/2024,B,1
1/15/2024,C,44
1/15/2024,D,215
1/15/2024,E,585
1/15/2024,F,28
1/15/2024,I,14
1/15/2024,G,19
1/16/2024,B,96
1/16/2024,C,35
1/16/2024,D,142
1/16/2024,E,138
1/16/2024,F,23
1/16/2024,G,16
1/17/2024,J,12
1/17/2024,B,27
1/17/2024,C,18
1/17/2024,D,147
1/17/2024,E,132
1/17/2024,F,10
1/17/2024,I,4
1/17/2024,G,50
1/18/2024,B,10
1/18/2024,D,155
1/18/2024,E,60
1/18/2024,F,40
1/18/2024,G,26
1/19/2024,B,7
1/19/2024,C,5
1/19/2024,D,160
1/19/2024,E,35
1/19/2024,F,43
1/19/2024,G,23
1/20/2024,J,6
1/20/2024,B,26
1/20/2024,C,62
1/20/2024,D,239
1/20/2024,E,59
1/20/2024,F,84
1/20/2024,I,4
1/20/2024,G,15
1/21/2024,J,12
1/21/2024,B,6
1/21/2024,C,50
1/21/2024,D,226
1/21/2024,E,100
1/21/2024,F,92
1/21/2024,I,4
1/21/2024,G,57
1/22/2024,J,8
1/22/2024,B,6
1/22/2024,C,101
1/22/2024,D,160
1/22/2024,E,42
1/22/2024,F,24
1/22/2024,I,12
1/22/2024,G,28
1/23/2024,J,14
1/23/2024,B,46
1/23/2024,C,10
1/23/2024,D,161
1/23/2024,E,54
1/23/2024,F,23
1/23/2024,I,6
1/23/2024,G,77
1/24/2024,J,24
1/24/2024,B,42
1/24/2024,C,16
1/24/2024,D,142
1/24/2024,E,14
1/24/2024,F,34
1/24/2024,I,13
1/24/2024,G,88
1/25/2024,J,7
1/25/2024,B,12
1/25/2024,C,92
1/25/2024,D,155
1/25/2024,E,120
1/25/2024,F,32
1/25/2024,I,6
1/25/2024,G,164
1/26/2024,J,30
1/26/2024,B,8
1/26/2024,C,15
1/26/2024,D,211
1/26/2024,E,105
1/26/2024,F,48
1/26/2024,I,19
1/26/2024,G,35
1/27/2024,J,40
1/27/2024,B,12
1/27/2024,C,110
1/27/2024,D,366
1/27/2024,E,258
1/27/2024,F,100
1/27/2024,I,10
1/27/2024,G,129
1/28/2024,J,5
1/28/2024,B,83
1/28/2024,C,122
1/28/2024,D,308
1/28/2024,E,173
1/28/2024,F,87
1/28/2024,I,19
1/28/2024,G,214
1/29/2024,J,10
1/29/2024,B,83
1/29/2024,C,46
1/29/2024,D,390
1/29/2024,E,170
1/29/2024,F,82
1/29/2024,I,8
1/29/2024,G,68
1/30/2024,J,36
1/30/2024,B,19
1/30/2024,C,60
1/30/2024,D,332
1/30/2024,E,215
1/30/2024,F,55
1/30/2024,I,11
1/30/2024,G,176
1/31/2024,J,16
1/31/2024,B,97
1/31/2024,C,40
1/31/2024,D,316
1/31/2024,E,285
1/31/2024,I,10
1/31/2024,G,83
2/1/2024,J,49
2/1/2024,C,41
2/1/2024,D,426
2/1/2024,E,176
2/1/2024,F,86
2/1/2024,I,29
2/1/2024,G,63
2/2/2024,J,32
2/2/2024,B,30
2/2/2024,C,50
2/2/2024,D,397
2/2/2024,E,202
2/2/2024,F,143
2/2/2024,I,45
2/2/2024,G,97
2/3/2024,J,40
2/3/2024,B,33
2/3/2024,C,22
2/3/2024,D,376
2/3/2024,E,378
2/3/2024,F,182
2/3/2024,I,81
2/3/2024,G,186
2/4/2024,J,42
2/4/2024,B,9
2/4/2024,C,145
2/4/2024,D,591
2/4/2024,E,431
2/4/2024,F,183
2/4/2024,I,30
2/4/2024,G,217
2/5/2024,J,37
2/5/2024,B,140
2/5/2024,C,85
2/5/2024,D,637
2/5/2024,E,387
2/5/2024,F,111
2/5/2024,I,29
2/5/2024,G,235
2/6/2024,J,43
2/6/2024,B,443
2/6/2024,C,146
2/6/2024,D,582
2/6/2024,E,89
2/6/2024,F,153
2/6/2024,I,53
