Date,Orders,Defects,Revenue,Profit
1/1/2023,"2,548",25,"$509,600","$253,550"
1/2/2023,928,9,"$185,600","$92,350"
1/3/2023,"1,306",13,"$261,200","$129,950"
1/4/2023,"1,462",15,"$292,400","$145,450"
1/5/2023,"1,825",18,"$365,000","$181,600"
1/6/2023,"2,037",20,"$407,400","$202,700"
1/7/2023,"2,817",28,"$563,400","$280,300"
1/8/2023,"2,576",26,"$515,200","$256,300"
1/9/2023,930,9,"$186,000","$92,550"
1/10/2023,"1,316",13,"$263,200","$130,950"
1/11/2023,"1,474",15,"$294,800","$146,650"
1/12/2023,"1,881",19,"$376,200","$187,150"
1/13/2023,"2,062",21,"$412,400","$205,150"
1/14/2023,"2,872",29,"$574,400","$285,750"
1/15/2023,"2,705",27,"$541,000","$269,150"
1/16/2023,966,10,"$193,200","$96,100"
1/17/2023,"1,360",14,"$272,000","$135,300"
1/18/2023,"1,523",15,"$304,600","$151,550"
1/19/2023,"1,911",19,"$382,200","$190,150"
1/20/2023,"2,135",21,"$427,000","$212,450"
1/21/2023,"2,849",28,"$569,800","$283,500"
1/22/2023,"2,723",27,"$544,600","$270,950"
1/23/2023,983,10,"$196,600","$97,800"
1/24/2023,"1,385",14,"$277,000","$137,800"
1/25/2023,"1,579",16,"$315,800","$157,100"
1/26/2023,"1,985",20,"$397,000","$197,500"
1/27/2023,"2,134",21,"$426,800","$212,350"
1/28/2023,"2,911",29,"$582,200","$289,650"
1/29/2023,"2,782",28,"$556,400","$276,800"
1/30/2023,994,10,"$198,800","$98,900"
1/31/2023,"1,364",14,"$272,800","$135,700"
2/1/2023,"2,370",24,"$474,000","$235,800"
2/2/2023,"3,032",30,"$606,400","$301,700"
2/3/2023,"3,345",33,"$669,000","$332,850"
2/4/2023,"4,535",45,"$907,000","$451,250"
2/5/2023,"4,208",42,"$841,600","$418,700"
2/6/2023,"1,531",15,"$306,200","$152,350"
2/7/2023,"2,098",21,"$419,600","$208,750"
2/8/2023,"2,420",24,"$484,000","$240,800"
2/9/2023,"3,014",30,"$602,800","$299,900"
2/10/2023,"3,395",34,"$679,000","$337,800"
2/11/2023,"4,577",46,"$915,400","$455,400"
2/12/2023,"4,337",43,"$867,400","$431,550"
2/13/2023,"1,553",16,"$310,600","$154,500"
2/14/2023,"2,176",22,"$435,200","$216,500"
2/15/2023,"2,487",25,"$497,400","$247,450"
2/16/2023,"3,060",31,"$612,000","$304,450"
2/17/2023,"3,442",34,"$688,400","$342,500"
2/18/2023,"4,585",46,"$917,000","$456,200"
2/19/2023,"4,352",44,"$870,400","$433,000"
2/20/2023,"1,570",16,"$314,000","$156,200"
2/21/2023,"2,189",22,"$437,800","$217,800"
2/22/2023,"2,488",25,"$497,600","$247,550"
2/23/2023,"3,101",31,"$620,200","$308,550"
2/24/2023,"3,427",34,"$685,400","$341,000"
2/25/2023,"4,694",47,"$938,800","$467,050"
2/26/2023,"4,428",44,"$885,600","$440,600"
2/27/2023,"1,614",16,"$322,800","$160,600"
2/28/2023,"2,243",22,"$448,600","$223,200"
3/1/2023,"3,361",34,"$672,200","$334,400"
3/2/2023,"4,237",42,"$847,400","$421,600"
3/3/2023,"4,766",48,"$953,200","$474,200"
3/4/2023,"6,306",63,"$1,261,200","$627,450"
3/5/2023,"6,029",60,"$1,205,800","$599,900"
3/6/2023,"2,148",21,"$429,600","$213,750"
3/7/2023,"3,000",30,"$600,000","$298,500"
3/8/2023,"3,519",35,"$703,800","$350,150"
3/9/2023,"4,319",43,"$863,800","$429,750"
3/10/2023,"4,730",47,"$946,000","$470,650"
3/11/2023,"6,582",66,"$1,316,400","$654,900"
3/12/2023,"6,057",61,"$1,211,400","$602,650"
3/13/2023,"2,221",22,"$444,200","$221,000"
3/14/2023,"3,071",31,"$614,200","$305,550"
3/15/2023,"3,531",35,"$706,200","$351,350"
3/16/2023,"4,471",45,"$894,200","$444,850"
3/17/2023,"4,888",49,"$977,600","$486,350"
3/18/2023,"6,758",68,"$1,351,600","$672,400"
3/19/2023,"6,132",61,"$1,226,400","$610,150"
3/20/2023,"2,229",22,"$445,800","$221,800"
3/21/2023,"3,165",32,"$633,000","$314,900"
3/22/2023,"3,628",36,"$725,600","$361,000"
3/23/2023,"4,443",44,"$888,600","$442,100"
3/24/2023,"4,866",49,"$973,200","$484,150"
3/25/2023,"6,726",67,"$1,345,200","$669,250"
3/26/2023,"6,354",64,"$1,270,800","$632,200"
3/27/2023,"2,234",22,"$446,800","$222,300"
3/28/2023,"3,119",31,"$623,800","$310,350"
3/29/2023,"3,566",36,"$713,200","$354,800"
3/30/2023,"4,553",46,"$910,600","$453,000"
3/31/2023,"5,031",50,"$1,006,200","$500,600"
4/1/2023,"10,206",153,"$2,041,200","$1,012,950"
4/2/2023,"9,689",145,"$1,937,800","$961,650"
4/3/2023,"3,427",51,"$685,400","$340,150"
4/4/2023,"4,890",73,"$978,000","$485,350"
4/5/2023,"5,629",84,"$1,125,800","$558,700"
4/6/2023,"6,784",102,"$1,356,800","$673,300"
4/7/2023,"7,570",114,"$1,514,000","$751,300"
4/8/2023,"10,322",155,"$2,064,400","$1,024,450"
4/9/2023,"9,598",144,"$1,919,600","$952,600"
4/10/2023,"3,466",52,"$693,200","$344,000"
4/11/2023,"4,905",74,"$981,000","$486,800"
4/12/2023,"5,667",85,"$1,133,400","$562,450"
4/13/2023,"7,047",106,"$1,409,400","$699,400"
4/14/2023,"7,863",118,"$1,572,600","$780,400"
4/15/2023,"10,672",160,"$2,134,400","$1,059,200"
4/16/2023,"9,891",148,"$1,978,200","$981,700"
4/17/2023,"3,501",53,"$700,200","$347,450"
4/18/2023,"4,946",74,"$989,200","$490,900"
4/19/2023,"5,764",86,"$1,152,800","$572,100"
4/20/2023,"7,209",108,"$1,441,800","$715,500"
4/21/2023,"7,729",116,"$1,545,800","$767,100"
4/22/2023,"10,576",159,"$2,115,200","$1,049,650"
4/23/2023,"10,101",152,"$2,020,200","$1,002,500"
4/24/2023,"3,559",53,"$711,800","$353,250"
4/25/2023,"5,104",77,"$1,020,800","$506,550"
4/26/2023,"5,758",86,"$1,151,600","$571,500"
4/27/2023,"7,149",107,"$1,429,800","$709,550"
4/28/2023,"7,902",119,"$1,580,400","$784,250"
4/29/2023,"10,937",164,"$2,187,400","$1,085,500"
4/30/2023,"10,364",155,"$2,072,800","$1,028,650"
5/1/2023,"4,325",65,"$865,000","$429,250"
5/2/2023,"6,100",92,"$1,220,000","$605,400"
5/3/2023,"7,157",107,"$1,431,400","$710,350"
5/4/2023,"8,847",133,"$1,769,400","$878,050"
5/5/2023,"9,554",143,"$1,910,800","$948,250"
5/6/2023,"13,173",198,"$2,634,600","$1,307,400"
5/7/2023,"12,424",186,"$2,484,800","$1,233,100"
5/8/2023,"4,368",66,"$873,600","$433,500"
5/9/2023,"6,143",92,"$1,228,600","$609,700"
